"ccode","cname","year","energy_carrier","values_TJ","shares"
"BA","Bosnia & Herzegovina",2021,"Heat",4175,0.0768
"BA","Bosnia & Herzegovina",2017,"Oil and petroleum products",1569.06,0.0618
"BA","Bosnia & Herzegovina",2018,"Oil and petroleum products",964.774,0.0183
"BA","Bosnia & Herzegovina",2019,"Oil and petroleum products",455.032,0.0089
"BA","Bosnia & Herzegovina",2020,"Oil and petroleum products",1117.589,0.0202
"BA","Bosnia & Herzegovina",2021,"Oil and petroleum products",979.697,0.018
"BA","Bosnia & Herzegovina",2017,"Renewables and biofuels",14156,0.5578
"BA","Bosnia & Herzegovina",2018,"Renewables and biofuels",43208.641,0.8216
"BA","Bosnia & Herzegovina",2019,"Renewables and biofuels",42990.424,0.8417
"BA","Bosnia & Herzegovina",2020,"Renewables and biofuels",46277.259,0.8363
"BA","Bosnia & Herzegovina",2021,"Renewables and biofuels",45132.572,0.8299
"BA","Bosnia & Herzegovina",2017,"Solid fossil fuels",4337.748,0.1709
"BA","Bosnia & Herzegovina",2018,"Solid fossil fuels",3188.841,0.0606
"BA","Bosnia & Herzegovina",2019,"Solid fossil fuels",2382.639,0.0466
"BA","Bosnia & Herzegovina",2020,"Solid fossil fuels",2429.001,0.0439
"BA","Bosnia & Herzegovina",2021,"Solid fossil fuels",2520.489,0.0463
"BE","Belgium",2017,"Electricity",7682.04,0.0308
"BE","Belgium",2018,"Electricity",7712.28,0.0312
"BE","Belgium",2019,"Electricity",7913.16,0.0329
"BE","Belgium",2020,"Electricity",7347.24,0.0308
"BE","Belgium",2021,"Electricity",9278.64,0.0347
"BE","Belgium",2017,"Natural gas",115222.95,0.4615
"BE","Belgium",2018,"Natural gas",115262.46,0.4656
"BE","Belgium",2019,"Natural gas",114358.59,0.4756
"BE","Belgium",2020,"Natural gas",106467.12,0.4466
"BE","Belgium",2021,"Natural gas",128511.63,0.4808
"BE","Belgium",2017,"Heat",501.2,0.002
"BE","Belgium",2018,"Heat",532.4,0.0022
"BE","Belgium",2019,"Heat",531.7,0.0022
"BE","Belgium",2020,"Heat",564.2,0.0024
"BE","Belgium",2021,"Heat",615.3,0.0023
"BE","Belgium",2017,"Oil and petroleum products",97294.378,0.3897
"BE","Belgium",2018,"Oil and petroleum products",95161.543,0.3844
"BE","Belgium",2019,"Oil and petroleum products",89153.143,0.3708
"BE","Belgium",2020,"Oil and petroleum products",97331.075,0.4082
"BE","Belgium",2021,"Oil and petroleum products",95106.229,0.3558
"BE","Belgium",2017,"Renewables and biofuels",26059.4,0.1044
"BE","Belgium",2018,"Renewables and biofuels",26510.1,0.1071
"BE","Belgium",2019,"Renewables and biofuels",26746.2,0.1112
"BE","Belgium",2020,"Renewables and biofuels",25358.1,0.1064
"BE","Belgium",2021,"Renewables and biofuels",32152.6,0.1203
"BE","Belgium",2017,"Solid fossil fuels",2931.446,0.0117
"BE","Belgium",2018,"Solid fossil fuels",2395.823,0.0097
"BE","Belgium",2019,"Solid fossil fuels",1733.631,0.0072
"BE","Belgium",2020,"Solid fossil fuels",1350.821,0.0057
"BE","Belgium",2021,"Solid fossil fuels",1626.035,0.0061
"BG","Bulgaria",2017,"Electricity",4579.996,0.0872
"BG","Bulgaria",2018,"Electricity",4341.359,0.0882
"BG","Bulgaria",2019,"Electricity",4459.241,0.0945
"BG","Bulgaria",2020,"Electricity",4669.906,0.0858
"BG","Bulgaria",2021,"Electricity",4915.451,0.0919
"BG","Bulgaria",2017,"Natural gas",2321.166,0.0442
"BG","Bulgaria",2018,"Natural gas",2608.553,0.053
"BG","Bulgaria",2019,"Natural gas",2637.635,0.0559
"BG","Bulgaria",2020,"Natural gas",3288.29,0.0604
"BG","Bulgaria",2021,"Natural gas",3942.254,0.0737
"BG","Bulgaria",2017,"Heat",8962.589,0.1706
"BG","Bulgaria",2018,"Heat",8269.61,0.168
"BG","Bulgaria",2019,"Heat",7684.838,0.1629
"BG","Bulgaria",2020,"Heat",8668.41,0.1594
"BG","Bulgaria",2021,"Heat",9154.96,0.1712
"BG","Bulgaria",2017,"Oil and petroleum products",63.121,0.0012
"BG","Bulgaria",2018,"Oil and petroleum products",30.345,6e-04
"BG","Bulgaria",2019,"Oil and petroleum products",35.878,8e-04
"BG","Bulgaria",2020,"Oil and petroleum products",74.08,0.0014
"BG","Bulgaria",2021,"Oil and petroleum products",45.038,8e-04
"BG","Bulgaria",2017,"Renewables and biofuels",30162.004,0.5742
"BG","Bulgaria",2018,"Renewables and biofuels",29330.579,0.5957
"BG","Bulgaria",2019,"Renewables and biofuels",28214.353,0.598
"BG","Bulgaria",2020,"Renewables and biofuels",33661.619,0.6188
"BG","Bulgaria",2021,"Renewables and biofuels",29815.73,0.5574
"BG","Bulgaria",2017,"Solid fossil fuels",6441.235,0.1226
"BG","Bulgaria",2018,"Solid fossil fuels",4655.758,0.0946
"BG","Bulgaria",2019,"Solid fossil fuels",4152.951,0.088
"BG","Bulgaria",2020,"Solid fossil fuels",4035.178,0.0742
"BG","Bulgaria",2021,"Solid fossil fuels",5615.354,0.105
"CY","Cyprus",2018,"Electricity",640.404,0.1326
"CY","Cyprus",2019,"Electricity",829.152,0.149
"CY","Cyprus",2020,"Electricity",910.141,0.1612
"CY","Cyprus",2021,"Electricity",883.26,0.1703
"CY","Cyprus",2018,"Oil and petroleum products",3099.437,0.6417
"CY","Cyprus",2019,"Oil and petroleum products",3560.192,0.6399
"CY","Cyprus",2020,"Oil and petroleum products",3552.729,0.6294
"CY","Cyprus",2021,"Oil and petroleum products",3130.933,0.6035
"CY","Cyprus",2018,"Renewables and biofuels",1090,0.2257
"CY","Cyprus",2019,"Renewables and biofuels",1174.472,0.2111
"CY","Cyprus",2020,"Renewables and biofuels",1182.147,0.2094
"CY","Cyprus",2021,"Renewables and biofuels",1173.406,0.2262
"CZ","Czechia",2017,"Electricity",9691.027,0.0463
"CZ","Czechia",2018,"Electricity",9714.222,0.0473
"CZ","Czechia",2019,"Electricity",10344.6,0.0509
"CZ","Czechia",2020,"Electricity",10404.572,0.0502
"CZ","Czechia",2021,"Electricity",12768.462,0.0555
"CZ","Czechia",2017,"Natural gas",55398.746,0.2647
"CZ","Czechia",2018,"Natural gas",51038.226,0.2484
"CZ","Czechia",2019,"Natural gas",49363.439,0.2427
"CZ","Czechia",2020,"Natural gas",51458.557,0.2484
"CZ","Czechia",2021,"Natural gas",57840.767,0.2513
"CZ","Czechia",2017,"Heat",30241.108,0.1445
"CZ","Czechia",2018,"Heat",27832.014,0.1355
"CZ","Czechia",2019,"Heat",27421.021,0.1348
"CZ","Czechia",2020,"Heat",27575.784,0.1331
"CZ","Czechia",2021,"Heat",32137.251,0.1397
"CZ","Czechia",2017,"Oil and petroleum products",1506.024,0.0072
"CZ","Czechia",2018,"Oil and petroleum products",1647.897,0.008
"CZ","Czechia",2019,"Oil and petroleum products",1495.397,0.0074
"CZ","Czechia",2020,"Oil and petroleum products",1578.666,0.0076
"CZ","Czechia",2021,"Oil and petroleum products",1713.892,0.0074
"CZ","Czechia",2017,"Renewables and biofuels",72014.081,0.3441
"CZ","Czechia",2018,"Renewables and biofuels",78242.926,0.3808
"CZ","Czechia",2019,"Renewables and biofuels",84351.798,0.4148
"CZ","Czechia",2020,"Renewables and biofuels",86681.042,0.4185
"CZ","Czechia",2021,"Renewables and biofuels",97509.419,0.4237
"CZ","Czechia",2017,"Solid fossil fuels",40456.009,0.1933
"CZ","Czechia",2018,"Solid fossil fuels",36978.907,0.18
"CZ","Czechia",2019,"Solid fossil fuels",30374.972,0.1494
"CZ","Czechia",2020,"Solid fossil fuels",29421.55,0.1421
"CZ","Czechia",2021,"Solid fossil fuels",28155.954,0.1224
"DE","Germany",2017,"Electricity",30164.893,0.0189
"DE","Germany",2018,"Electricity",26760.989,0.0173
"DE","Germany",2019,"Electricity",26861.836,0.0166
"DE","Germany",2020,"Electricity",27065.282,0.0166
"DE","Germany",2021,"Electricity",29368.224,0.0181
"DE","Germany",2017,"Natural gas",720706.648,0.451
"DE","Germany",2018,"Natural gas",735319.293,0.4749
"DE","Germany",2019,"Natural gas",733740.789,0.4527
"DE","Germany",2020,"Natural gas",712959.114,0.4381
"DE","Germany",2021,"Natural gas",823836.265,0.5079
"DE","Germany",2017,"Heat",169382.499,0.106
"DE","Germany",2018,"Heat",139234.018,0.0899
"DE","Germany",2019,"Heat",151130.13,0.0932
"DE","Germany",2020,"Heat",147190.327,0.0905
"DE","Germany",2021,"Heat",165207.341,0.1018
"DE","Germany",2017,"Oil and petroleum products",403282.684,0.2524
"DE","Germany",2018,"Oil and petroleum products",360771.797,0.233
"DE","Germany",2019,"Oil and petroleum products",414975.976,0.256
"DE","Germany",2020,"Oil and petroleum products",456254.973,0.2804
"DE","Germany",2021,"Oil and petroleum products",274680.153,0.1693
"DE","Germany",2017,"Renewables and biofuels",253579.981,0.1587
"DE","Germany",2018,"Renewables and biofuels",265528.713,0.1715
"DE","Germany",2019,"Renewables and biofuels",279606.639,0.1725
"DE","Germany",2020,"Renewables and biofuels",270537.06,0.1663
"DE","Germany",2021,"Renewables and biofuels",314472.354,0.1939
"DE","Germany",2017,"Solid fossil fuels",20949.763,0.0131
"DE","Germany",2018,"Solid fossil fuels",20619.125,0.0133
"DE","Germany",2019,"Solid fossil fuels",14454.225,0.0089
"DE","Germany",2020,"Solid fossil fuels",13250.496,0.0081
"DE","Germany",2021,"Solid fossil fuels",14582.909,0.009
"DK","Denmark",2017,"Electricity",3438,0.0289
"DK","Denmark",2018,"Electricity",3363.959,0.0307
"DK","Denmark",2019,"Electricity",3657.352,0.0332
"DK","Denmark",2020,"Electricity",4080.769,0.0387
"DK","Denmark",2021,"Electricity",3991.781,0.0351
"DK","Denmark",2017,"Natural gas",17890,0.1503
"DK","Denmark",2018,"Natural gas",18614.788,0.1696
"DK","Denmark",2019,"Natural gas",18640.972,0.1694
"DK","Denmark",2020,"Natural gas",18177.276,0.1722
"DK","Denmark",2021,"Natural gas",17664.944,0.1553
"DK","Denmark",2017,"Heat",44607,0.3748
"DK","Denmark",2018,"Heat",44220.78,0.403
"DK","Denmark",2019,"Heat",42525.59,0.3864
"DK","Denmark",2020,"Heat",39792.296,0.377
"DK","Denmark",2021,"Heat",46702.698,0.4107
"DK","Denmark",2017,"Oil and petroleum products",4679,0.0393
"DK","Denmark",2019,"Oil and petroleum products",4067.901,0.037
"DK","Denmark",2020,"Oil and petroleum products",3366.328,0.0319
"DK","Denmark",2021,"Oil and petroleum products",2829.173,0.0249
"DK","Denmark",2017,"Renewables and biofuels",48396,0.4067
"DK","Denmark",2018,"Renewables and biofuels",43538.057,0.3967
"DK","Denmark",2019,"Renewables and biofuels",41173.17,0.3741
"DK","Denmark",2020,"Renewables and biofuels",40124.729,0.3802
"DK","Denmark",2021,"Renewables and biofuels",42525.124,0.374
"EE","Estonia",2017,"Electricity",1508.76,0.053
"EE","Estonia",2018,"Electricity",1447.2,0.0505
"EE","Estonia",2019,"Electricity",1609.632,0.0553
"EE","Estonia",2020,"Electricity",1553.645,0.0546
"EE","Estonia",2021,"Electricity",1733.27,0.0604
"EE","Estonia",2017,"Natural gas",1695.892,0.0596
"EE","Estonia",2018,"Natural gas",1686.6,0.0589
"EE","Estonia",2019,"Natural gas",1771.639,0.0608
"EE","Estonia",2020,"Natural gas",1724.244,0.0606
"EE","Estonia",2021,"Natural gas",1849.523,0.0645
"EE","Estonia",2017,"Heat",10577.953,0.3717
"EE","Estonia",2018,"Heat",10721,0.3744
"EE","Estonia",2019,"Heat",10863.844,0.3731
"EE","Estonia",2020,"Heat",10403.242,0.3656
"EE","Estonia",2021,"Heat",10641.484,0.3708
"EE","Estonia",2017,"Oil and petroleum products",74.279,0.0026
"EE","Estonia",2018,"Oil and petroleum products",74.63,0.0026
"EE","Estonia",2019,"Oil and petroleum products",79.02,0.0027
"EE","Estonia",2020,"Oil and petroleum products",75.464,0.0027
"EE","Estonia",2021,"Oil and petroleum products",37.71,0.0013
"EE","Estonia",2017,"Renewables and biofuels",14525.394,0.5104
"EE","Estonia",2018,"Renewables and biofuels",14664,0.5121
"EE","Estonia",2019,"Renewables and biofuels",14753.138,0.5067
"EE","Estonia",2020,"Renewables and biofuels",14664.264,0.5153
"EE","Estonia",2021,"Renewables and biofuels",14433.191,0.503
"EE","Estonia",2017,"Solid fossil fuels",74.646,0.0026
"EE","Estonia",2018,"Solid fossil fuels",44,0.0015
"EE","Estonia",2019,"Solid fossil fuels",39.6,0.0014
"EE","Estonia",2020,"Solid fossil fuels",37.334,0.0013
"EL","Greece",2017,"Electricity",5467.777,0.0534
"EL","Greece",2018,"Electricity",4255.945,0.0492
"EL","Greece",2019,"Electricity",2993.832,0.0316
"EL","Greece",2020,"Electricity",5287.828,0.0519
"EL","Greece",2021,"Electricity",4935.132,0.053
"EL","Greece",2017,"Natural gas",14490.595,0.1414
"EL","Greece",2018,"Natural gas",12094.036,0.1399
"EL","Greece",2019,"Natural gas",15515.679,0.1639
"EL","Greece",2020,"Natural gas",17223.757,0.169
"EL","Greece",2021,"Natural gas",20643.42,0.2216
"EL","Greece",2017,"Heat",2043.913,0.02
"EL","Greece",2018,"Heat",1977.541,0.0229
"EL","Greece",2019,"Heat",2067.148,0.0218
"EL","Greece",2020,"Heat",2137.293,0.021
"EL","Greece",2021,"Heat",1464.089,0.0157
"EL","Greece",2017,"Oil and petroleum products",48815.76,0.4765
"EL","Greece",2018,"Oil and petroleum products",38230.878,0.4421
"EL","Greece",2019,"Oil and petroleum products",45171.588,0.4771
"EL","Greece",2020,"Oil and petroleum products",47652.78,0.4674
"EL","Greece",2021,"Oil and petroleum products",40498.122,0.4347
"EL","Greece",2017,"Renewables and biofuels",31442.336,0.3069
"EL","Greece",2018,"Renewables and biofuels",29762.603,0.3442
"EL","Greece",2019,"Renewables and biofuels",28702.906,0.3031
"EL","Greece",2020,"Renewables and biofuels",29515.834,0.2895
"EL","Greece",2021,"Renewables and biofuels",25485.923,0.2736
"EL","Greece",2017,"Solid fossil fuels",185.24,0.0018
"EL","Greece",2018,"Solid fossil fuels",154.463,0.0018
"EL","Greece",2019,"Solid fossil fuels",236.983,0.0025
"EL","Greece",2020,"Solid fossil fuels",128.38,0.0013
"EL","Greece",2021,"Solid fossil fuels",135.414,0.0015
"ES","Spain",2017,"Electricity",18929.838,0.0784
"ES","Spain",2018,"Electricity",19887.824,0.0786
"ES","Spain",2019,"Electricity",19350.895,0.0813
"ES","Spain",2020,"Electricity",19415.329,0.0802
"ES","Spain",2021,"Electricity",19395.441,0.0793
"ES","Spain",2017,"Natural gas",64446.778,0.2668
"ES","Spain",2018,"Natural gas",70852.829,0.2799
"ES","Spain",2019,"Natural gas",67037.13,0.2816
"ES","Spain",2020,"Natural gas",67372.442,0.2785
"ES","Spain",2021,"Natural gas",70478.516,0.2882
"ES","Spain",2017,"Heat",0,0
"ES","Spain",2018,"Heat",0,0
"ES","Spain",2019,"Heat",0,0
"ES","Spain",2020,"Heat",0,0
"ES","Spain",2021,"Heat",0,0
"ES","Spain",2017,"Oil and petroleum products",77245.094,0.3198
"ES","Spain",2018,"Oil and petroleum products",81067.912,0.3203
"ES","Spain",2019,"Oil and petroleum products",69572.742,0.2923
"ES","Spain",2020,"Oil and petroleum products",73065.681,0.302
"ES","Spain",2021,"Oil and petroleum products",72225.497,0.2954
"ES","Spain",2017,"Renewables and biofuels",78233.086,0.3239
"ES","Spain",2018,"Renewables and biofuels",78974.417,0.312
"ES","Spain",2019,"Renewables and biofuels",79866.938,0.3355
"ES","Spain",2020,"Renewables and biofuels",80507.766,0.3327
"ES","Spain",2021,"Renewables and biofuels",81104.232,0.3317
"ES","Spain",2017,"Solid fossil fuels",2712.282,0.0112
"ES","Spain",2018,"Solid fossil fuels",2337.215,0.0092
"ES","Spain",2019,"Solid fossil fuels",2220.172,0.0093
"ES","Spain",2020,"Solid fossil fuels",1586.843,0.0066
"ES","Spain",2021,"Solid fossil fuels",1310.303,0.0054
"FI","Finland",2017,"Electricity",38296.8,0.235
"FI","Finland",2018,"Electricity",39186,0.245
"FI","Finland",2019,"Electricity",37072.8,0.2379
"FI","Finland",2020,"Electricity",34930.8,0.2479
"FI","Finland",2021,"Electricity",40618.8,0.2437
"FI","Finland",2017,"Natural gas",859.5,0.0053
"FI","Finland",2018,"Natural gas",795.6,0.005
"FI","Finland",2019,"Natural gas",886.5,0.0057
"FI","Finland",2020,"Natural gas",779.4,0.0055
"FI","Finland",2021,"Natural gas",949.5,0.0057
"FI","Finland",2017,"Heat",49976,0.3067
"FI","Finland",2018,"Heat",47646,0.2979
"FI","Finland",2019,"Heat",46622,0.2992
"FI","Finland",2020,"Heat",40887,0.2902
"FI","Finland",2021,"Heat",50469,0.3028
"FI","Finland",2017,"Oil and petroleum products",10554.355,0.0648
"FI","Finland",2018,"Oil and petroleum products",9470.78,0.0592
"FI","Finland",2019,"Oil and petroleum products",8524.098,0.0547
"FI","Finland",2020,"Oil and petroleum products",7317.193,0.0519
"FI","Finland",2021,"Oil and petroleum products",6880.64,0.0413
"FI","Finland",2017,"Renewables and biofuels",63179,0.3877
"FI","Finland",2018,"Renewables and biofuels",62747,0.3923
"FI","Finland",2019,"Renewables and biofuels",62634,0.4019
"FI","Finland",2020,"Renewables and biofuels",56889,0.4038
"FI","Finland",2021,"Renewables and biofuels",67669,0.406
"FI","Finland",2017,"Solid fossil fuels",102.6,6e-04
"FI","Finland",2018,"Solid fossil fuels",104.79,7e-04
"FI","Finland",2019,"Solid fossil fuels",106.75,7e-04
"FI","Finland",2020,"Solid fossil fuels",94.311,7e-04
"FI","Finland",2021,"Solid fossil fuels",83.52,5e-04
"FR","France",2017,"Electricity",184776.934,0.1566
"FR","France",2018,"Electricity",175885.297,0.1571
"FR","France",2019,"Electricity",177627.584,0.1588
"FR","France",2020,"Electricity",160412.474,0.1532
"FR","France",2021,"Electricity",197498.372,0.1626
"FR","France",2017,"Natural gas",428744.889,0.3634
"FR","France",2018,"Natural gas",399610.386,0.3569
"FR","France",2019,"Natural gas",391422.108,0.3499
"FR","France",2020,"Natural gas",364378.289,0.348
"FR","France",2021,"Natural gas",413465.609,0.3403
"FR","France",2017,"Heat",40992.034,0.0347
"FR","France",2018,"Heat",41104.958,0.0367
"FR","France",2019,"Heat",41499.161,0.0371
"FR","France",2020,"Heat",39574.493,0.0378
"FR","France",2021,"Heat",48637.1,0.04
"FR","France",2017,"Oil and petroleum products",173659.218,0.1472
"FR","France",2018,"Oil and petroleum products",154268.774,0.1378
"FR","France",2019,"Oil and petroleum products",143620.165,0.1284
"FR","France",2020,"Oil and petroleum products",134627.365,0.1286
"FR","France",2021,"Oil and petroleum products",138398.727,0.1139
"FR","France",2017,"Renewables and biofuels",350431.587,0.297
"FR","France",2018,"Renewables and biofuels",347843.443,0.3106
"FR","France",2019,"Renewables and biofuels",363433.08,0.3249
"FR","France",2020,"Renewables and biofuels",347186.265,0.3316
"FR","France",2021,"Renewables and biofuels",415929.821,0.3423
"FR","France",2017,"Solid fossil fuels",1360.647,0.0012
"FR","France",2018,"Solid fossil fuels",1025.769,9e-04
"FR","France",2019,"Solid fossil fuels",969.524,9e-04
"FR","France",2020,"Solid fossil fuels",819.058,8e-04
"FR","France",2021,"Solid fossil fuels",1031.345,8e-04
"GE","Georgia",2017,"Electricity",554.436,0.0172
"GE","Georgia",2018,"Electricity",605.966,0.0211
"GE","Georgia",2019,"Electricity",611.28,0.0201
"GE","Georgia",2020,"Electricity",639,0.0192
"GE","Georgia",2021,"Electricity",616.68,0.0166
"GE","Georgia",2017,"Natural gas",18698.49,0.5784
"GE","Georgia",2018,"Natural gas",18155.565,0.6336
"GE","Georgia",2019,"Natural gas",20867.351,0.6849
"GE","Georgia",2020,"Natural gas",24417.45,0.7321
"GE","Georgia",2021,"Natural gas",24226.19,0.6505
"GE","Georgia",2017,"Heat",0,0
"GE","Georgia",2018,"Heat",0,0
"GE","Georgia",2019,"Heat",0,0
"GE","Georgia",2020,"Heat",0,0
"GE","Georgia",2021,"Heat",0,0
"GE","Georgia",2017,"Oil and petroleum products",0,0
"GE","Georgia",2018,"Oil and petroleum products",0,0
"GE","Georgia",2019,"Oil and petroleum products",0,0
"GE","Georgia",2020,"Oil and petroleum products",0,0
"GE","Georgia",2021,"Oil and petroleum products",1.564,0
"GE","Georgia",2017,"Renewables and biofuels",13056.177,0.4039
"GE","Georgia",2018,"Renewables and biofuels",9888.56,0.3451
"GE","Georgia",2019,"Renewables and biofuels",8986.544,0.2949
"GE","Georgia",2020,"Renewables and biofuels",8296.2,0.2487
"GE","Georgia",2021,"Renewables and biofuels",12330,0.3311
"GE","Georgia",2017,"Solid fossil fuels",16.49,5e-04
"GE","Georgia",2018,"Solid fossil fuels",5.27,2e-04
"GE","Georgia",2019,"Solid fossil fuels",4.76,2e-04
"GE","Georgia",2020,"Solid fossil fuels",1.969,1e-04
"GE","Georgia",2021,"Solid fossil fuels",70.125,0.0019
"HR","Croatia",2017,"Electricity",813.848,0.0119
"HR","Croatia",2018,"Electricity",873.768,0.0134
"HR","Croatia",2019,"Electricity",887.169,0.014
"HR","Croatia",2020,"Electricity",858.227,0.0131
"HR","Croatia",2021,"Electricity",929.643,0.0133
"HR","Croatia",2017,"Natural gas",14734.703,0.2152
"HR","Croatia",2018,"Natural gas",14374.083,0.2201
"HR","Croatia",2019,"Natural gas",14475.536,0.2287
"HR","Croatia",2020,"Natural gas",15492.785,0.2372
"HR","Croatia",2021,"Natural gas",16771.02,0.2393
"HR","Croatia",2017,"Heat",4540.388,0.0663
"HR","Croatia",2018,"Heat",4320.487,0.0662
"HR","Croatia",2019,"Heat",4274.815,0.0675
"HR","Croatia",2020,"Heat",4456,0.0682
"HR","Croatia",2021,"Heat",4810.139,0.0686
"HR","Croatia",2017,"Oil and petroleum products",3674.141,0.0537
"HR","Croatia",2018,"Oil and petroleum products",3102.837,0.0475
"HR","Croatia",2019,"Oil and petroleum products",2321.315,0.0367
"HR","Croatia",2020,"Oil and petroleum products",2620.141,0.0401
"HR","Croatia",2021,"Oil and petroleum products",1976.698,0.0282
"HR","Croatia",2017,"Renewables and biofuels",44605.63,0.6513
"HR","Croatia",2018,"Renewables and biofuels",42546.679,0.6516
"HR","Croatia",2019,"Renewables and biofuels",41255.735,0.6517
"HR","Croatia",2020,"Renewables and biofuels",41817.476,0.6402
"HR","Croatia",2021,"Renewables and biofuels",45530.397,0.6496
"HR","Croatia",2017,"Solid fossil fuels",113.979,0.0017
"HR","Croatia",2018,"Solid fossil fuels",78.377,0.0012
"HR","Croatia",2019,"Solid fossil fuels",88.966,0.0014
"HR","Croatia",2020,"Solid fossil fuels",75.817,0.0012
"HR","Croatia",2021,"Solid fossil fuels",70.481,0.001
"HU","Hungary",2017,"Electricity",1515.413,0.0078
"HU","Hungary",2018,"Electricity",1431.918,0.0082
"HU","Hungary",2019,"Electricity",1407.485,0.0084
"HU","Hungary",2020,"Electricity",2866,0.0161
"HU","Hungary",2021,"Electricity",4089.6,0.0209
"HU","Hungary",2017,"Natural gas",103918.55,0.5329
"HU","Hungary",2018,"Natural gas",98405.314,0.5632
"HU","Hungary",2019,"Natural gas",96839.86,0.5764
"HU","Hungary",2020,"Natural gas",105541,0.5919
"HU","Hungary",2021,"Natural gas",118246.747,0.6044
"HU","Hungary",2017,"Heat",15989.754,0.082
"HU","Hungary",2018,"Heat",14535,0.0832
"HU","Hungary",2019,"Heat",14064,0.0837
"HU","Hungary",2020,"Heat",14481,0.0812
"HU","Hungary",2021,"Heat",15853,0.081
"HU","Hungary",2017,"Oil and petroleum products",399.665,0.002
"HU","Hungary",2018,"Oil and petroleum products",405.571,0.0023
"HU","Hungary",2019,"Oil and petroleum products",393.805,0.0023
"HU","Hungary",2020,"Oil and petroleum products",96.986,5e-04
"HU","Hungary",2021,"Oil and petroleum products",90.25,5e-04
"HU","Hungary",2017,"Renewables and biofuels",67255.536,0.3449
"HU","Hungary",2018,"Renewables and biofuels",55977.673,0.3203
"HU","Hungary",2019,"Renewables and biofuels",52355.833,0.3116
"HU","Hungary",2020,"Renewables and biofuels",52969,0.2971
